problem_id,rating,tags
2146_D1,1500.0,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy', 'trees']"
2146_C,1300.0,"['binary search', 'constructive algorithms']"
2146_B,1100.0,"['greedy', 'implementation']"
2146_A,800.0,"['brute force', 'greedy', 'implementation']"
2145_G,2900.0,"['combinatorics', 'divide and conquer', 'dp', 'fft', 'math']"
2145_F,2500.0,"['dfs and similar', 'divide and conquer', 'dp', 'graphs', 'greedy', 'math', 'matrices', 'number theory']"
2145_E,2100.0,"['binary search', 'data structures', 'greedy', 'sortings']"
2145_D,1800.0,"['constructive algorithms', 'dfs and similar', 'dp']"
2145_C,1300.0,"['binary search', 'greedy', 'strings']"
2145_B,1000.0,"['greedy', 'implementation']"
2145_A,800.0,['math']
2144_F,2700.0,"['brute force', 'constructive algorithms', 'dp', 'string suffix structures', 'strings']"
2144_E2,2500.0,"['combinatorics', 'data structures', 'dp']"
2144_E1,2200.0,"['combinatorics', 'dp']"
2144_D,1800.0,"['brute force', 'dp', 'math']"
2144_C,1300.0,"['combinatorics', 'dp', 'math']"
2144_B,1000.0,"['constructive algorithms', 'greedy']"
2144_A,800.0,"['brute force', 'constructive algorithms', 'math', 'number theory']"
2143_F,2700.0,"['bitmasks', 'data structures', 'math']"
2143_E,2400.0,"['constructive algorithms', 'greedy', 'math', 'strings']"
2143_D2,2200.0,"['binary search', 'combinatorics', 'data structures', 'dp', 'two pointers']"
2143_D1,1800.0,"['combinatorics', 'data structures', 'dp', 'greedy', 'two pointers']"
2143_C,1300.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']"
2143_B,1000.0,"['greedy', 'sortings', 'two pointers']"
2143_A,800.0,"['brute force', 'two pointers']"
2141_I,3500.0,['*special']
2141_H,2700.0,"['*special', 'dfs and similar', 'dsu', 'graphs']"
2141_G,2800.0,"['*special', 'data structures', 'geometry', 'sortings']"
2141_F,2200.0,"['*special', 'greedy']"
2141_E,2100.0,"['*special', 'dp', 'greedy']"
2141_D,1800.0,"['*special', 'greedy', 'math']"
2141_C,1800.0,"['*special', 'brute force']"
2141_B,1200.0,"['*special', 'greedy']"
2141_A,800.0,"['*special', 'implementation']"
2140_F,2900.0,['number theory']
2140_E2,2500.0,"['bitmasks', 'combinatorics', 'dp', 'probabilities']"
2140_E1,2200.0,"['bitmasks', 'combinatorics', 'dp']"
2140_D,2000.0,"['data structures', 'greedy', 'sortings']"
2140_C,1500.0,"['data structures', 'games', 'greedy']"
2140_B,900.0,"['constructive algorithms', 'math', 'number theory']"
2140_A,800.0,"['greedy', 'sortings']"
2139_B,800.0,['greedy']
2139_A,800.0,"['greedy', 'math']"
2138_F,3500.0,"['constructive algorithms', 'geometry']"
2138_E2,3100.0,"['brute force', 'constructive algorithms', 'math', 'matrices', 'number theory']"
2138_E1,3100.0,"['brute force', 'constructive algorithms', 'math', 'matrices', 'number theory']"
2138_D,2600.0,"['brute force', 'combinatorics', 'implementation', 'math', 'sortings']"
2138_C2,2000.0,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'fft', 'trees']"
2138_C1,1800.0,"['brute force', 'dfs and similar', 'dp', 'graphs', 'trees']"
2138_B,1900.0,"['data structures', 'greedy', 'two pointers']"
2138_A,1100.0,"['bitmasks', 'constructive algorithms', 'greedy']"
2137_G,2200.0,"['dfs and similar', 'dp', 'games', 'graphs']"
2137_F,1900.0,"['binary search', 'combinatorics', 'data structures', 'sortings']"
2137_E,1500.0,"['brute force', 'implementation', 'math']"
2137_D,1200.0,['constructive algorithms']
2137_C,1100.0,"['brute force', 'greedy', 'implementation', 'math']"
2137_B,900.0,"['constructive algorithms', 'math', 'number theory']"
2137_A,800.0,"['constructive algorithms', 'math']"
2136_B,900.0,"['constructive algorithms', 'greedy', 'two pointers']"
2136_A,800.0,"['greedy', 'math']"
2135_F,3500.0,"['data structures', 'hashing', 'math', 'trees']"
2135_E2,3500.0,"['combinatorics', 'dp', 'math', 'number theory']"
2135_E1,3300.0,"['combinatorics', 'dp', 'math']"
2135_D2,2500.0,"['brute force', 'constructive algorithms', 'interactive', 'math']"
2135_D1,2100.0,"['constructive algorithms', 'interactive', 'math']"
2135_C,2000.0,"['binary search', 'bitmasks', 'combinatorics', 'dfs and similar', 'dsu', 'graphs', 'math']"
2135_B,1700.0,"['constructive algorithms', 'interactive', 'math']"
2135_A,1200.0,"['data structures', 'dp']"
2134_F,2900.0,"['combinatorics', 'dp', 'math']"
2134_E,2300.0,"['constructive algorithms', 'dp', 'implementation', 'interactive']"
2134_D,2300.0,"['constructive algorithms', 'dfs and similar', 'greedy', 'implementation', 'trees']"
2134_C,1200.0,"['brute force', 'greedy', 'implementation']"
2134_B,1200.0,"['constructive algorithms', 'math', 'number theory']"
2134_A,800.0,"['constructive algorithms', 'implementation', 'math']"
2133_F,3000.0,"['data structures', 'dp', 'graphs']"
2133_E,2500.0,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy', 'trees']"
2133_D,1900.0,"['dp', 'greedy']"
2133_C,1400.0,"['graphs', 'interactive']"
2133_B,800.0,['greedy']
2133_A,800.0,"['brute force', 'data structures', 'implementation', 'math']"
2132_G,2600.0,"['hashing', 'implementation', 'strings']"
2132_F,2100.0,"['dfs and similar', 'graphs', 'shortest paths']"
2132_E,1700.0,"['binary search', 'data structures', 'greedy', 'sortings', 'ternary search']"
2132_D,1600.0,"['binary search', 'dp', 'implementation', 'math']"
